date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:00:48	599/599	---M--	200	added ('OK')	text/html	etag:%22257-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-order-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-order-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:48	524/524	---M--	200	added ('OK')	text/html	etag:%2220c-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:48	743/743	---M--	200	added ('OK')	text/html	etag:%222e7-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:48	543/543	---M--	200	added ('OK')	text/html	etag:%2221f-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-3.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-3.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:48	541/541	---M--	200	added ('OK')	text/html	etag:%2221d-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-4.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-basis-4.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:49	537/537	---M--	200	added ('OK')	text/html	etag:%22219-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-grow-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-grow-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:49	557/557	---M--	200	added ('OK')	text/html	etag:%2222d-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-grow-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-grow-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:49	813/813	---M--	200	added ('OK')	text/html	etag:%2232d-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-shrink-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-shrink-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:49	841/841	---M--	200	added ('OK')	text/html	etag:%22349-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-shrink-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-shrink-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:50	542/542	---M--	200	added ('OK')	text/html	etag:%2221e-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-flex-initial-1.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-flex-initial-1.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
11:00:50	674/674	---M--	200	added ('OK')	text/html	etag:%222a2-58a6658ffa700%22	https://www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-flex-initial-2.html	C:/Mis%20lugares%20Web/HTMLCSS3/www.mclibre.org/consultar/htmlcss/css/ejemplos/flexbox/flex-flex-initial-2.html	(from https://www.mclibre.org/consultar/htmlcss/css/css-flexbox.html)
